taxon_no,taxon_name
271589,Discocoelidae
85888,Discohelicidae
168452,Discoididae
86784,Discophyllitidae
203517,Discordichthyidae
128017,Discosoridae
70278,Discostromatidae
70340,Disjectoporidae
336943,Dispheniidae
82678,Disphyllidae
246104,Distacodidae
86811,Distichitidae
213919,Distobatidae
113886,Ditoecholasmatidae
127187,Docodermatidae
133759,Dokimocephalidae
154826,Dolerolenidae
86568,Dolerorthidae
95206,Dolichometopidae
350713,Dolichopteridae
166364,Domatoceratidae
60156,Donacidae
116549,Donacosmilidae
57191,Donaldinidae
94715,Dorippidae
96140,Dorsojugatidae
99758,Dorypteridae
95207,Dorypygidae
130412,Douvilleiceratidae
124290,Douvillinidae
125092,Draboviidae
60171,Dreissenidae
216909,Drepanellidae
286976,Drepanopteridae
97853,Drilliidae
173672,Dromiidae
278558,Dronovitidae
244025,Dualinidae
115436,Durhaminidae
134524,Dussumieriidae
69260,Duvaliidae
171663,Dycheiidae
151646,Dynomenidae
130616,Dyscoliidae
55494,Dyscritellidae
204078,Dysideidae
124193,Dysoristidae
206152,Dystactospongiidae
93269,Dzhulfitidae
60182,Eatoniellidae
125926,Eatoniidae
266142,Echeneidae
151230,Echinarachniidae
53798,Echinasteridae
87424,Echinidae
171696,Echinochitonidae
82772,Echinoconchidae
168789,Echinocystitidae
305729,Echinoencrinitidae
153601,Echinolampadidae
141751,Echinometridae
153375,Echinoneidae
83110,Echinorhinidae
123382,Echinospiriferidae
53902,Echinothuriidae
204850,Echioceratidae
167021,Echmatocrinidae
125043,Edaphodontidae
154939,Edelsteinaspididae
209102,Edestidae
60194,Edmondiidae
241713,Edrioasteridae
124229,Eichwaldiidae
90417,Eiffeliidae
115426,Ekvasophyllidae
60196,Elachisinidae
58588,Elasmonematidae
52759,Electridae
151006,Electrinidae
232353,Eleidae
124189,Elkaniidae
103558,Ellesmeroceratidae
134507,Ellimmichthyidae
133761,Ellipsocephalidae
133760,Ellipsocephaloididae
108258,Ellipsosmiliidae
149460,Ellisoniidae
60205,Ellobiidae
99751,Elonichthyidae
327921,Elonidae
63040,Elopidae
133762,Elviniidae
81196,Elythidae
127287,Elythynidae
266158,Embiotocidae
136511,Embolasteridae
327777,Eminooeciidae
168423,Emiratiidae
81577,Emuellidae
125857,Enantiosphenidae
108909,Enchodontidae
102898,Encrinasteridae
258549,Encrinidae
97159,Encrinuridae
115085,Endamplexidae
103404,Endoceratidae
135549,Endodontidae
113919,Endophyllidae
70167,Endostomatidae
115068,Endotheciidae
129288,Engonoceratidae
327899,Enidae
60229,Entalinidae
169991,Entalophoridae
125090,Enteletidae
113914,Entelophyllidae
92990,Entogonitidae
60231,Entoliidae
168637,Entolioididae
169424,Entomozoidae
267699,Eocomatulidae
124203,Eoconulidae
124352,Eocramatiidae
120077,Eocrinidae
337411,Eocypraeidae
194019,Eoderoceratidae
124706,Eodevonariidae
90399,Eodiscidae
92968,Eogonioloboceratidae
69567,Eoobolidae
68769,Eoorthidae
318891,Eophasmidae
101195,Eophiuridae
124304,Eopholidostrophiidae
58680,Eopteriidae
134383,Eoptolamnidae
100965,Eosagenitidae
161347,Eoschizodidae
