taxon_no,taxon_name
23176,Europisthia
23177,Eurychilina
23178,Evlanella
23180,Extrania
23181,Fallaticella
23182,Falsipollex
23183,Famenella
23184,Fellerites
23185,Femerensia
23186,Fidelitella
23187,Fiorella
23188,Flaccivelum
23189,Foramenella
23190,Foveaprimitella
23191,Fuscinites
23192,Fuscinullina
23193,Gannibeyrichia
23194,Garniella
23195,Gebeckeria
23197,Geffenites
23198,Gellensia
23199,Giandites
23200,Gibba
23202,Glezeria
23203,Glimmatobolbina
23204,Glossomorphites
23207,Glyptopleurella
23209,Glyptopleuroides
23210,Gongylostonyx
23211,Gotula
23212,Gracquina
23213,Gramella
23214,Grammolomatella
23215,Gravia
23216,Gryphiswaldensia
23217,Guberites
23218,Guerichiella
23219,Gyrgathella
23220,Hallatia
23222,Hanaites
23223,Haplobolbina
23224,Haploprimitia
23225,Harginisulcus
23226,Harpabollia
23227,Hastatellina
23228,Hatangeus
23229,Hebellum
23230,Hemeaschnidtella
23231,Hemiaechminoides
23232,Hemsiella
23233,Henningsmoenia
23234,Hercynobolbina
23235,Hesperidella
23236,Hesslandella
23238,Hillmeria
23239,Hintziella
23240,Hippula
23241,Histina
23242,Hithis
23243,Hollina
23245,Homeoceratopsis
23246,Homeokiesowia
23247,Huckea
23249,Huntonella
23250,Huttoniella
23251,Hypotetragona
23252,Hyrsinobolbina
23253,Illativella
23254,Imangdites
23255,Inisylthere
187294,Iranokirkbya
23256,Ishmiella
23257,Ispharaella
23259,Ivaria
23260,Jaanussonia
23261,Jagatiella
23262,Jakutobolbina
23263,Javatius
23264,Jeanlouisella
23265,Jonesella
23266,Jonesina
23269,Junctusina
23270,Kalugia
23271,Karinutatia
23272,Karlsteinella
23273,Kasovobolbina
23274,Katatona
23275,Kayatia
23276,Kayina
23279,Kielciella
23280,Kiesowia
23285,Kitabella
23286,Klimphores
23288,Kloedenellitina
23290,Klonkina
23292,Knoxina
23293,Knoxites
23294,Kolednikella
23296,Komaroiella
23297,Koscoviellina
23298,Kozlowskiella
23299,Kraftia
23301,Kyphomopisthia
23303,Labrosavelum
23304,Laccochilina
23305,Laccoprimitia
23307,Lapazites
23308,Lardeuxella
23309,Latebina
23310,Laterophores
23311,Leiocyamus
23312,Leioprimitia
23313,Lembitites
23314,Lembitsarvella
23315,Lenatella
23316,Lennukella
23317,Leperditella
23318,Leperditelloides
23319,Leptobolbina
23320,Leptoprimitia
23321,Levisulculus
23322,Lichvinia
23323,Limatia
23324,Limbinaria
23325,Limbinariella
23326,Lingulibolina
23327,Linsayella
23328,Loculibolbina
23329,Loculocavata
23330,Lokius
23331,Lomatobolbina
23332,Lomatopisthia
23333,Longidorsa
23335,Loutriella
23336,Lubrzankiella
23337,Luciter
23338,Lysogorella
23340,Maizassionis
23341,Malguzaria
23342,Malnina
23343,Mammoides
23345,Marginia
23346,Marginisulcus
23347,Marquezina
23348,Martinssonopsis
23349,Martinssonozona
23350,Masloviella
23353,Medianella
23354,Melanchlenia
23357,Microaechmina
23358,Microchilina
23359,Miehlkella
23361,Milleratia
23363,Miraculum
23364,Moeckowia
23365,Moierina
23366,Mojczella
23367,Monotiopleura
23370,Murtiella
23371,Myomphalis
23372,Naevhithis
23373,Nanopsis
23374,Neckajatia
23375,Neckajella
23376,Nemuniella
23378,Neoaparchites
23379,Neobeyrichia
180655,Neofellerites
23381,Neokloedenella
23382,Neoprimitiella
23383,Neoschmidtella
23384,Neotsitrella
23386,Nevadabolbina
23387,Nezamyslia
23388,Nicolina
23389,Nionella
23390,Nobilitella
23391,Nodambichilina
23393,Nodibeyrichia
23394,Nonsukozona
23395,Norochilina
23396,Notoscapha
23397,Noviportia
23398,Novobolbina
23399,Novogladites
23400,Nudista
23401,Obliquisylthis
23402,Obotrita
23403,Ochesaarina
23404,Ochescapha
23405,Ockerella
23406,Octobolbina
23407,Oecematobolbina
23408,Oejlemyra
23409,Oepikella
23410,Oepikium
23411,Ogmoopsis
23412,Ojlemyra
23414,Opikatia
23415,Opisthoplax
23416,Orcofabella
23417,Ordovicia
23418,Ordovizona
23419,Orechina
23420,Orientalina
23421,Orthonaria
23422,Osmotoxotis
23423,Otraczetia
23424,Paegnium
23425,Panderia
23427,Parabolbina
23428,Parabouchekius
23429,Paractenoloculina
23431,Paraglyptopleura
23432,Parahealdia
23433,Parahippa
