Max Age (Ma),Min Age (Ma),mindat ID,Locality containing Mineral,Tectonic Settings,Dated Locality ID,Dated Locality (Max Age),Lat Deg,Lat Min,Lat Sec,Lon Deg,Lon Min,Lon Sec,Decimal Degree,Mineral Name (plain),RRUFF Chemistry (plain),RRUFF Chemistry (concise),Chemistry Elements,Country of Type Locality,Structural Groupname,Fleischers Groupname
1703,1697,159467,"Richard Ruby, Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Calcite,CaCO<sub>3</sub>,CaCO_3_,Ca C O,unknown,Calcite,calcite
1703,1697,159467,"Richard Ruby, Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Cerussite,PbCO<sub>3</sub>,PbCO_3_,Pb C O,Italy,Aragonite,aragonite
1703,1697,186678,"Daydream Mine (Meech's Blow), Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Azurite,Cu<sup>2+</sup><sub>3</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>,Cu^2+^_3_(CO_3_)_2_(OH)_2_,Cu C O H,France,Â ,Â 
1703,1697,186678,"Daydream Mine (Meech's Blow), Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Calcite,CaCO<sub>3</sub>,CaCO_3_,Ca C O,unknown,Calcite,calcite
1703,1697,186678,"Daydream Mine (Meech's Blow), Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Cerussite,PbCO<sub>3</sub>,PbCO_3_,Pb C O,Italy,Aragonite,aragonite
1703,1697,186678,"Daydream Mine (Meech's Blow), Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Dolomite,CaMg(CO<sub>3</sub>)<sub>2</sub>,CaMg(CO_3_)_2_,Ca Mg C O,Italy,Dolomite,dolomite
1703,1697,186678,"Daydream Mine (Meech's Blow), Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Malachite,Cu<sup>2+</sup><sub>2</sub>CO<sub>3</sub>(OH)<sub>2</sub>,Cu^2+^_2_CO_3_(OH)_2_,Cu C O H,unknown,Malachite,rosasite
1703,1697,186678,"Daydream Mine (Meech's Blow), Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Phosgenite,Pb<sub>2</sub>CO<sub>3</sub>Cl<sub>2</sub>,Pb_2_CO_3_Cl_2_,Pb C O Cl,unknown,Â ,Â 
1703,1697,186678,"Daydream Mine (Meech's Blow), Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Siderite,Fe<sup>2+</sup>CO<sub>3</sub>,Fe^2+^CO_3_,Fe C O,unknown,Calcite,calcite
1703,1697,186678,"Daydream Mine (Meech's Blow), Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Smithsonite,Zn<sup>2+</sup>CO<sub>3</sub>,Zn^2+^CO_3_,Zn C O,United Kingdom,Calcite,calcite
