Max Age (Ma),Min Age (Ma),mindat ID,Locality containing Mineral,Tectonic Settings,Dated Locality ID,Dated Locality (Max Age),Lat Deg,Lat Min,Lat Sec,Lon Deg,Lon Min,Lon Sec,Decimal Degree,Mineral Name (plain),RRUFF Chemistry (plain),RRUFF Chemistry (concise),Chemistry Elements,Country of Type Locality,Structural Groupname,Fleischers Groupname
2710,2700,18840,"Cams Open Cut, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-43,-50,120,32,54,"-27.730555555556,120.54833333333",Atacamite,Cu<sup>2+</sup><sub>2</sub>Cl(OH)<sub>3</sub>,Cu^2+^_2_Cl(OH)_3_,Cu Cl O H,Chile,Atacamite,atacamite
2710,2700,190241,"Harmony Ni Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-47,-13,120,41,11,"-27.786944444444,120.68638888889",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
2710,2700,122760,"Leinster Downs Ni Prospect, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-44,-30,120,40,10,"-27.741666666667,120.66944444444",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
2710,2700,122759,"Perseverance Ni Mine (Agnew; Leinster), Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-48,-55,120,42,15,"-27.815277777778,120.70416666667",Chromite,Fe<sup>2+</sup>Cr<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Cr^3+^_2_O_4_,Fe Cr O,France,Spinel,spinel
2710,2700,122759,"Perseverance Ni Mine (Agnew; Leinster), Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-48,-55,120,42,15,"-27.815277777778,120.70416666667",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
2710,2700,194569,"Rocky's Reward Ni Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-47,-53,120,41,58,"-27.798055555556,120.69944444444",Chromite,Fe<sup>2+</sup>Cr<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Cr^3+^_2_O_4_,Fe Cr O,France,Spinel,spinel
2710,2700,122761,"Sir Samuel Ni Deposits, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-42,-10,120,39,30,"-27.702777777778,120.65833333333",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
2710,2700,248465,"Thunderbox Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-28,-11,-37,121,0,17,"-28.193611111111,121.00472222222",Goethite,Fe<sup>3+</sup>O(OH),Fe^3+^O(OH),Fe O H,Germany,Â ,diaspore
2710,2700,248465,"Thunderbox Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-28,-11,-37,121,0,17,"-28.193611111111,121.00472222222",Ilmenite,Fe<sup>2+</sup>Ti<sup>4+</sup>O<sub>3</sub>,Fe^2+^Ti^4+^O_3_,Fe Ti O,Russia,Corundum,ilmenite
2710,2700,248465,"Thunderbox Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-28,-11,-37,121,0,17,"-28.193611111111,121.00472222222",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
